TIMESTAMP_END,LW_IN_T1_47_1,PA_T1_47_1,PPFD_IN_T1_47_1,RH_T1_47_1,SW_IN_T1_47_1,TA_T1_47_1
2024-03-17 07:30:00,287.61483000000004,93650.193,124.85177587155134,92.49946233333334,67.33442205789235,7.848322066666666
2024-03-17 08:00:00,283.6873133333333,93648.29033333334,172.85573720488466,94.61733966666667,89.22168172455902,7.334444033333333
2024-03-17 08:30:00,277.02983666666665,93644.39066666667,298.09713053821804,95.541107,159.14176705789234,7.262555266666666
2024-03-17 09:00:00,279.95346333333333,93655.84333333332,596.7528305382181,93.21251733333334,321.0370290578923,7.9858553
2024-03-17 09:30:00,288.63457999999997,93653.18533333334,715.627840538218,91.336923,379.425775724559,8.558788566666667
2024-03-17 10:00:00,294.38598,93654.87833333334,692.2004472048847,92.89227266666667,359.221765724559,8.465488533333334
2024-03-17 10:30:00,308.11372,93652.11733333333,709.3228605382179,90.63979566666667,365.4251390578923,8.5385664
2024-03-17 11:00:00,319.2345433333333,93638.74533333333,542.9081372048846,90.547374,286.74741905789233,8.252316433333332
2024-03-17 11:30:00,324.41434000000004,93636.35299999999,404.7897772048847,92.61019,215.782335724559,7.9714108999999995
2024-03-17 12:00:00,328.18291666666664,93653.36366666667,432.39311720488473,93.66556766666667,231.72592239122568,7.467149766666666
2024-03-17 12:30:00,334.58496,93666.47666666665,532.2890772048846,95.15485766666667,287.84523572455896,7.396632933333334
2024-03-17 13:00:00,336.68924,93646.42133333333,472.2578438715513,88.05358966666667,254.61433239122567,8.1324497
2024-03-17 13:30:00,338.11717000000004,93627.38566666665,380.4958872048847,86.73072366666666,203.10923572455903,8.363122
2024-03-17 14:00:00,336.49251,93615.03266666667,325.848440538218,88.38706733333333,172.57911905789237,8.209894366666667
2024-03-17 14:30:00,338.52575666666667,93582.011,368.11274387155134,87.45403066666667,194.1785223912257,8.619566466666667
2024-03-17 15:00:00,336.64089666666666,93543.71033333334,495.1186372048847,85.06828566666667,267.78273905789234,9.1237166
2024-03-17 15:30:00,338.46504333333337,93514.66833333332,293.19729720488465,84.287819,163.05479805789236,9.277144333333332
2024-03-17 16:00:00,341.29381666666666,93506.04000000001,216.77773720488466,85.84016333333332,119.62178672455903,9.424477566666667
2024-03-17 16:30:00,345.06597,93508.27900000001,183.9725872048847,86.228606,99.85919605789236,9.596149733333334
2024-03-17 17:00:00,347.87827,93492.703,155.63159720488468,85.623293,81.42612905789237,9.397760900000002
2024-03-17 17:30:00,342.25457,93446.15400000001,93.87077587155133,80.09840933333334,53.87313105789236,9.672044133333333
2024-03-17 18:00:00,338.8272533333333,93457.29566666667,45.08686020488467,85.73756333333334,29.028601457892357,9.4181442
2024-03-17 18:30:00,336.6199,93447.64899999999,15.723874656264135,85.00418133333332,11.330243218068748,9.302249866666667
2024-03-17 19:00:00,338.9810766666667,93452.27533333334,0.0,83.16952566666667,0.0,9.190183133333333
2024-03-17 19:30:00,340.1257933333333,93435.97099999999,0.0,82.62909766666667,0.0,9.478310966666667
2024-03-17 20:00:00,341.03653,93450.71266666666,0.0,82.66887566666666,0.0,9.339049733333333
2024-03-17 20:30:00,340.13800333333336,93448.85366666666,0.0,83.06370266666666,0.0,9.287927566666667
2024-03-17 21:00:00,338.7642466666667,93442.15266666668,0.0,81.665608,0.0,9.442883133333334
2024-03-17 21:30:00,336.61378666666667,93436.042,0.0,85.47953566666666,0.0,9.0415164
2024-03-17 22:00:00,329.88552999999996,93412.51766666668,0.0,86.85997866666666,0.0,8.912172033333333
2024-03-17 22:30:00,321.15413666666666,93388.33366666667,0.0,88.952714,0.0,8.733083200000001
2024-03-17 23:00:00,337.62859000000003,93365.22533333334,0.0,89.15219,0.0,8.767288766666667
2024-03-17 23:30:00,339.1592733333334,93348.952,0.0,87.30421700000001,0.0,8.915055333333333
2024-03-18 00:00:00,337.29452000000003,93331.76366666667,0.0,88.85028433333333,0.0,8.796127566666666
2024-03-18 00:30:00,337.85088,93310.86066666666,0.0,89.49683866666668,0.0,8.727721933333333
2024-03-18 01:00:00,340.60704333333337,93296.34833333334,0.0,89.99293266666668,0.0,8.610794266666666
2024-03-18 01:30:00,341.77833333333336,93283.67333333334,0.0,90.37639166666666,0.0,8.562222033333335
2024-03-18 02:00:00,341.3182433333333,93256.38166666667,0.0,90.37089566666667,0.0,8.491099766666666
2024-03-18 02:30:00,341.07096333333334,93224.43733333334,0.0,90.61271933333335,0.0,8.415260933333334
2024-03-18 03:00:00,341.99120666666664,93190.37433333333,0.0,90.420672,0.0,8.386849833333333
2024-03-18 03:30:00,341.5968833333333,93173.15266666668,0.0,90.24057266666667,0.0,8.319838766666667
